shareCode,shareName,shareNameEn,marketType,shareType
305090,마이크로디지탈,Micro Digital Co. Ltd.,KOSDAQ,보통주
147760,마이크로프랜드,Micro Friend Inc.,KOSDAQ,보통주
377480,마인즈랩,MINDS LAB INC.,KOSDAQ,보통주
169330,엠브레인,Macromill Embrain Co. Ltd.,KOSDAQ,보통주
038290,마크로젠,Macrogen Inc.,KOSDAQ,보통주
220630,맘스터치,MOM'S TOUCH&Co.,KOSDAQ,보통주
267980,매일유업,Maeil Dairies Co. Ltd.,KOSDAQ,보통주
005990,매일홀딩스,MAEIL HOLDINGS CO. LTD.,KOSDAQ,보통주
127160,매직마이크로,MAGICMICRO CO.LTD,KOSDAQ,보통주
093520,매커스,MAKUS Inc.,KOSDAQ,보통주
377030,맥스트,MAXST CO. LTD,KOSDAQ,보통주
100590,머큐리,Mercury Corporation,KOSDAQ,보통주
067280,멀티캠퍼스,Multicampus Corporation,KOSDAQ,보통주
072870,메가스터디,MegaStudy Co. Ltd.,KOSDAQ,보통주
215200,메가스터디교육,MegaStudyEdu Co. Ltd,KOSDAQ,보통주
133750,메가엠디,MegaMD Co. Ltd.,KOSDAQ,보통주
235980,메드팩토,MedPacto Inc.,KOSDAQ,보통주
041920,메디아나,MEDIANA Co.LTD,KOSDAQ,보통주
014100,메디앙스,Medience Co. LTD.,KOSDAQ,보통주
054180,메디콕스,MEDICOX Co. Ltd.,KOSDAQ,보통주
086900,메디톡스,Medy-Tox Inc.,KOSDAQ,보통주
078160,메디포스트,MEDIPOST CO. LTD.,KOSDAQ,보통주
065650,메디프론,Medifron DBT Co. Ltd.,KOSDAQ,보통주
021880,메이슨캐피탈,MASON CAPITAL CORPORATION,KOSDAQ,보통주
140410,메지온,Mezzion Pharma Co. Ltd.,KOSDAQ,보통주
241770,메카로,MECARO.CO.LTD.,KOSDAQ,보통주
059210,메타바이오메드,META BIOMED.CO.LTD,KOSDAQ,보통주
058110,멕아이씨에스,MEKICS Co.Ltd.,KOSDAQ,보통주
096640,멜파스,Melfas Inc.,KOSDAQ,보통주
257370,명성티엔에스,Mstns Co.Ltd.,KOSDAQ,보통주
080420,모다이노칩,Moda-InnoChips Co. Ltd.,KOSDAQ,보통주
080160,모두투어,MODETOUR NETWORK INC.,KOSDAQ,보통주
100030,모바일리더,Mobileleader Co. Ltd.,KOSDAQ,보통주
087260,모바일어플라이언스,MOBILE APPLIANCE INC.,KOSDAQ,보통주
101330,모베이스,MOBASE Co. Ltd.,KOSDAQ,보통주
012860,모베이스전자,MOBASE ELECTRONICS CO.LTD.,KOSDAQ,보통주
348030,모비릭스,MOBIRIX Corporation,KOSDAQ,보통주
250060,모비스,Mobiis Co. Ltd.,KOSDAQ,보통주
033200,모아텍,MOATECH CO. LTD.,KOSDAQ,보통주
